Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
COYLE001-R1	COYLE001-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13091.0	0.0	251.0	45.0	5.9964861355129475	251.0	pass	fail	pass	warn	fail	fail	pass	pass	fail	fail	fail
COYLE002-R1	COYLE002-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18563.0	0.0	251.0	41.0	5.392447341485751	251.0	pass	fail	pass	warn	fail	fail	pass	pass	fail	fail	fail
COYLE003-R1	COYLE003-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10846.0	0.0	251.0	59.0	4.259634888438134	251.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
COYLE004-R1	COYLE004-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10535.0	0.0	251.0	58.0	3.6165163739914568	251.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
COYLE005-R1	COYLE005-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12732.0	0.0	251.0	57.0	4.005655042412818	251.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
COYLE006-R1	COYLE006-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19258.0	0.0	251.0	49.0	5.364004569529547	251.0	pass	warn	pass	warn	fail	fail	pass	pass	fail	fail	fail
COYLE007-R1	COYLE007-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19044.0	0.0	251.0	43.0	5.261499684940139	251.0	pass	fail	pass	warn	fail	fail	pass	pass	fail	fail	fail
COYLE008-R1	COYLE008-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8483.0	0.0	251.0	52.0	6.4364022161970995	251.0	pass	warn	pass	warn	fail	fail	pass	pass	fail	fail	fail
LISTON01-R1	LISTON01-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	32997.0	0.0	251.0	26.0	15.71658029517835	251.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
LISTON02-R1	LISTON02-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26413.0	0.0	251.0	26.0	21.054026426380947	251.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
LISTON03-R1	LISTON03-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34719.0	0.0	251.0	26.0	19.35251591347677	251.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
LISTON04-R1	LISTON04-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	44885.0	0.0	251.0	26.0	17.281942742564333	251.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	fail	pass
LISTON05-R1	LISTON05-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19447.0	0.0	251.0	26.0	23.803157299326376	251.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
