Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
COYLE001-R1	94.00351386448705	45.0	251.0	54.54545454545454	13091.0
COYLE002-R1	94.60755265851425	41.0	251.0	54.54545454545454	18563.0
COYLE003-R1	95.74036511156187	59.0	251.0	36.36363636363637	10846.0
COYLE004-R1	96.38348362600854	58.0	251.0	36.36363636363637	10535.0
COYLE005-R1	95.99434495758719	57.0	251.0	45.45454545454545	12732.0
COYLE006-R1	94.63599543047046	49.0	251.0	45.45454545454545	19258.0
COYLE007-R1	94.73850031505987	43.0	251.0	54.54545454545454	19044.0
COYLE008-R1	93.5635977838029	52.0	251.0	45.45454545454545	8483.0
LISTON01-R1	84.28341970482165	26.0	251.0	36.36363636363637	32997.0
LISTON02-R1	78.94597357361906	26.0	251.0	27.27272727272727	26413.0
LISTON03-R1	80.64748408652324	26.0	251.0	36.36363636363637	34719.0
LISTON04-R1	82.71805725743567	26.0	251.0	27.27272727272727	44885.0
LISTON05-R1	76.19684270067363	26.0	251.0	27.27272727272727	19447.0
LISTON06-R1	77.52867570385818	26.0	251.0	36.36363636363637	23016.0
P01-01-A-R1	30.042253521126767	53.0	251.0	18.181818181818183	14200.0
P01-01-B-R1	22.144305508617776	52.0	251.0	27.27272727272727	11836.0
P01-01-C-R1	42.55195886740532	53.0	251.0	36.36363636363637	13809.0
P01-01-D-R1	51.054438450220694	53.0	251.0	36.36363636363637	16312.0
P01-01-E-R1	48.49109545897039	54.0	251.0	27.27272727272727	17463.0
P01-01-F-R1	49.621441550575405	53.0	251.0	27.27272727272727	26416.0
P01-01-G-R1	23.022659256092354	44.0	251.0	36.36363636363637	9356.0
P01-01-H-R1	23.59836508058919	42.0	251.0	36.36363636363637	12967.0
P01-02-A-R1	25.727181544633908	39.0	251.0	45.45454545454545	1994.0
P01-02-B-R1	26.428259921500214	38.0	251.0	36.36363636363637	2293.0
P01-02-C-R1	1.409869083585093	39.0	251.0	36.36363636363637	1986.0
P01-02-D-R1	0.0	39.0	251.0	27.27272727272727	287.0
undetermined-R1	57.845129698676615	44.0	251.0	18.181818181818183	62491.0
