trim2 reads
P01-01-A-n05_fun_fwd-n01_fun_rev 1
P01-01-E-n07_gi_fwd-n07_gi_rev 609
P01-02-A-n05_fun_fwd-n05_fun_rev 1
P01-01-C-n03_fun_fwd-n02_fun_rev 9
P01-01-D-n05_gi_fwd-n07_gi_rev 3
P01-01-A-n04_fun_fwd-n03_fun_rev 24
P01-01-B-n08_gi_fwd-n08_gi_rev 74
P01-01-G-n02_fun_fwd-n03_fun_rev 3
P01-01-F-n09_gi_fwd-n09_gi_rev 643
P01-01-D-n06_gi_fwd-n05_gi_rev 2
P01-01-H-n04_fun_fwd-n03_fun_rev 1
P01-01-A-n06_fun_fwd-n07_fun_rev 5
P01-01-B-n09_gi_fwd-n07_gi_rev 1
P01-01-D-n05_fun_fwd-n05_fun_rev 2668
P01-01-H-n07_gi_fwd-n05_gi_rev 1
P01-01-E-n06_gi_fwd-n08_gi_rev 3
P01-01-G-n03_fun_fwd-n01_fun_rev 1
P01-01-A-n06_gi_fwd-n06_gi_rev 782
P01-02-A-n06_gi_fwd-n03_fun_rev 1
P01-01-F-n03_fun_fwd-n06_fun_rev 1
P01-01-E-n07_gi_fwd-n09_gi_rev 1
P01-01-E-n06_fun_fwd-n05_fun_rev 10
P01-01-A-n07_gi_fwd-n07_gi_rev 893
P01-01-H-n06_fun_fwd-n06_fun_rev 153
P01-01-A-n04_fun_fwd-n02_fun_rev 2
P01-01-E-n06_gi_fwd-n04_fun_rev 1
P01-01-F-n08_gi_fwd-n08_gi_rev 1123
P01-01-C-n03_fun_fwd-n03_fun_rev 2100
P01-01-B-n03_fun_fwd-n04_fun_rev 6
P01-01-E-n05_fun_fwd-n03_fun_rev 1
P01-01-D-n05_fun_fwd-n04_fun_rev 45
P01-01-F-n09_gi_fwd-n07_gi_rev 2
P01-01-H-n05_gi_fwd-n06_gi_rev 7
P01-01-B-n09_gi_fwd-n09_gi_rev 616
P01-01-E-n06_gi_fwd-n06_gi_rev 200
P01-01-E-n08_gi_fwd-n05_fun_rev 1
P01-01-F-n02_fun_fwd-n05_fun_rev 1
P01-01-A-n06_fun_fwd-n06_fun_rev 2263
P01-01-A-n06_gi_fwd-n08_gi_rev 4
P01-01-D-n04_gi_fwd-n06_gi_rev 2
P01-02-A-n08_gi_fwd-n08_gi_rev 1
P01-01-A-n06_fun_fwd-n05_fun_rev 29
P01-01-E-n04_fun_fwd-n02_fun_rev 1
P01-01-D-n04_fun_fwd-n05_fun_rev 19
P01-01-A-n06_gi_fwd-n07_gi_rev 151
P01-01-F-n09_gi_fwd-n08_gi_rev 23
P01-01-G-n03_fun_fwd-n03_fun_rev 789
P01-01-F-n03_fun_fwd-n04_fun_rev 32
P01-01-H-n04_gi_fwd-n06_gi_rev 1
P01-01-F-n08_gi_fwd-n07_gi_rev 23
P01-01-B-n08_gi_fwd-n09_gi_rev 18
