Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	per_tile_sequence_quality
P01-01-A-n01_fun_fwd-n05_fun_rev-rc-R2	P01-01-A-n01_fun_fwd-n05_fun_rev-rc-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1.0	0.0	225.0	53.0	100.0	225.0	pass	pass	pass	fail	pass	pass	pass	pass	fail	pass	
P01-01-A-n02_fun_fwd-n04_fun_rev-rc-R2	P01-01-A-n02_fun_fwd-n04_fun_rev-rc-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3.0	0.0	226.0	53.0	33.33333333333333	226.0	pass	pass	pass	fail	pass	pass	pass	fail	fail	pass	
P01-01-A-n03_fun_fwd-n02_fun_rev-rc-R2	P01-01-A-n03_fun_fwd-n02_fun_rev-rc-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3.0	0.0	228.0	53.0	66.66666666666666	228.0	pass	pass	pass	fail	warn	pass	pass	warn	fail	pass	
P01-01-A-n03_fun_fwd-n03_fun_rev-rc-R2	P01-01-A-n03_fun_fwd-n03_fun_rev-rc-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	389.0	0.0	227.0	53.0	15.681233933161954	227.0	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass	pass
P01-01-A-n03_fun_fwd-n04_fun_rev-rc-R2	P01-01-A-n03_fun_fwd-n04_fun_rev-rc-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9.0	0.0	226.0	54.0	33.33333333333333	226.0	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass	
P01-01-A-n03_fun_fwd-n05_fun_rev-rc-R2	P01-01-A-n03_fun_fwd-n05_fun_rev-rc-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1.0	0.0	225.0	54.0	100.0	225.0	pass	pass	pass	fail	pass	pass	pass	pass	fail	pass	
P01-01-A-n04_fun_fwd-n02_fun_rev-rc-R2	P01-01-A-n04_fun_fwd-n02_fun_rev-rc-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2.0	0.0	228.0	53.0	100.0	228.0	pass	pass	pass	fail	pass	pass	pass	pass	fail	pass	
P01-01-A-n04_fun_fwd-n03_fun_rev-rc-R2	P01-01-A-n04_fun_fwd-n03_fun_rev-rc-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24.0	0.0	227.0	54.0	20.833333333333336	227.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass	pass
P01-01-A-n04_fun_fwd-n04_fun_rev-rc-R2	P01-01-A-n04_fun_fwd-n04_fun_rev-rc-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3723.0	0.0	226.0	54.0	4.888530754767661	226.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass	pass
P01-01-A-n04_fun_fwd-n05_fun_rev-rc-R2	P01-01-A-n04_fun_fwd-n05_fun_rev-rc-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15.0	0.0	225.0	53.0	40.0	225.0	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass	pass
P01-01-A-n04_fun_fwd-n06_fun_rev-rc-R2	P01-01-A-n04_fun_fwd-n06_fun_rev-rc-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2.0	0.0	224.0	54.0	100.0	224.0	pass	pass	pass	fail	fail	pass	pass	pass	fail	pass	
P01-01-A-n04_gi_fwd-n06_gi_rev-rc-R2	P01-01-A-n04_gi_fwd-n06_gi_rev-rc-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1.0	0.0	227.0	41.0	100.0	227.0	pass	pass	pass	fail	pass	pass	pass	pass	fail	pass	
P01-01-A-n04_gi_fwd-n07_gi_rev-rc-R2	P01-01-A-n04_gi_fwd-n07_gi_rev-rc-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2.0	0.0	226.0	42.0	50.0	226.0	pass	pass	pass	fail	fail	pass	pass	warn	fail	pass	
P01-01-A-n05_fun_fwd-n01_fun_rev-rc-R2	P01-01-A-n05_fun_fwd-n01_fun_rev-rc-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1.0	0.0	229.0	53.0	100.0	229.0	pass	pass	pass	fail	pass	pass	pass	pass	fail	pass	
P01-01-A-n05_fun_fwd-n03_fun_rev-rc-R2	P01-01-A-n05_fun_fwd-n03_fun_rev-rc-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2.0	0.0	227.0	53.0	100.0	227.0	pass	pass	pass	fail	fail	pass	pass	pass	fail	pass	
P01-01-A-n05_fun_fwd-n04_fun_rev-rc-R2	P01-01-A-n05_fun_fwd-n04_fun_rev-rc-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23.0	0.0	226.0	54.0	30.434782608695656	226.0	pass	pass	pass	fail	pass	pass	pass	fail	fail	pass	pass
P01-01-A-n05_fun_fwd-n05_fun_rev-rc-R2	P01-01-A-n05_fun_fwd-n05_fun_rev-rc-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2376.0	0.0	225.0	53.0	8.88047138047138	225.0	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass	pass
P01-01-A-n05_fun_fwd-n06_fun_rev-rc-R2	P01-01-A-n05_fun_fwd-n06_fun_rev-rc-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9.0	0.0	224.0	53.0	55.55555555555556	224.0	pass	pass	pass	fail	fail	pass	pass	warn	fail	pass	
