Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
P01-01-A-n01_fun_fwd-n05_fun_rev-rc-R2	0.0	53.0	225.0	20.0	1.0
P01-01-A-n02_fun_fwd-n04_fun_rev-rc-R2	66.66666666666667	53.0	226.0	30.0	3.0
P01-01-A-n03_fun_fwd-n02_fun_rev-rc-R2	33.33333333333334	53.0	228.0	20.0	3.0
P01-01-A-n03_fun_fwd-n03_fun_rev-rc-R2	84.31876606683805	53.0	227.0	27.27272727272727	389.0
P01-01-A-n03_fun_fwd-n04_fun_rev-rc-R2	66.66666666666667	54.0	226.0	30.0	9.0
P01-01-A-n03_fun_fwd-n05_fun_rev-rc-R2	0.0	54.0	225.0	20.0	1.0
P01-01-A-n04_fun_fwd-n02_fun_rev-rc-R2	0.0	53.0	228.0	20.0	2.0
P01-01-A-n04_fun_fwd-n03_fun_rev-rc-R2	79.16666666666666	54.0	227.0	36.36363636363637	24.0
P01-01-A-n04_fun_fwd-n04_fun_rev-rc-R2	95.11146924523234	54.0	226.0	36.36363636363637	3723.0
P01-01-A-n04_fun_fwd-n05_fun_rev-rc-R2	60.0	53.0	225.0	27.27272727272727	15.0
P01-01-A-n04_fun_fwd-n06_fun_rev-rc-R2	0.0	54.0	224.0	30.0	2.0
P01-01-A-n04_gi_fwd-n06_gi_rev-rc-R2	0.0	41.0	227.0	20.0	1.0
P01-01-A-n04_gi_fwd-n07_gi_rev-rc-R2	50.0	42.0	226.0	30.0	2.0
P01-01-A-n05_fun_fwd-n01_fun_rev-rc-R2	0.0	53.0	229.0	20.0	1.0
P01-01-A-n05_fun_fwd-n03_fun_rev-rc-R2	0.0	53.0	227.0	30.0	2.0
P01-01-A-n05_fun_fwd-n04_fun_rev-rc-R2	69.56521739130434	54.0	226.0	27.27272727272727	23.0
P01-01-A-n05_fun_fwd-n05_fun_rev-rc-R2	91.11952861952862	53.0	225.0	27.27272727272727	2376.0
P01-01-A-n05_fun_fwd-n06_fun_rev-rc-R2	44.44444444444444	53.0	224.0	30.0	9.0
P01-01-A-n05_fun_fwd-n07_fun_rev-rc-R2	0.0	53.0	223.0	20.0	1.0
P01-01-A-n05_gi_fwd-n06_gi_rev-rc-R2	68.9655172413793	41.0	227.0	27.27272727272727	29.0
P01-01-A-n05_gi_fwd-n07_gi_rev-rc-R2	66.66666666666667	41.0	226.0	40.0	6.0
P01-01-A-n06_fun_fwd-n02_fun_rev-rc-R2	0.0	53.0	228.0	20.0	1.0
P01-01-A-n06_fun_fwd-n03_fun_rev-rc-R2	50.0	53.0	227.0	20.0	2.0
P01-01-A-n06_fun_fwd-n04_fun_rev-rc-R2	0.0	53.0	226.0	30.0	1.0
P01-01-A-n06_fun_fwd-n05_fun_rev-rc-R2	68.9655172413793	54.0	225.0	36.36363636363637	29.0
P01-01-A-n06_fun_fwd-n06_fun_rev-rc-R2	89.92487847989395	53.0	224.0	27.27272727272727	2263.0
P01-01-A-n06_fun_fwd-n07_fun_rev-rc-R2	20.0	53.0	223.0	30.0	5.0
P01-01-A-n06_gi_fwd-n04_gi_rev-rc-R2	0.0	42.0	229.0	30.0	1.0
P01-01-A-n06_gi_fwd-n06_gi_rev-rc-R2	89.769820971867	41.0	227.0	36.36363636363637	782.0
P01-01-A-n06_gi_fwd-n07_gi_rev-rc-R2	85.43046357615894	42.0	226.0	36.36363636363637	151.0
P01-01-A-n06_gi_fwd-n08_gi_rev-rc-R2	75.0	42.0	225.0	40.0	4.0
P01-01-A-n07_fun_fwd-n06_fun_rev-rc-R2	0.0	53.0	224.0	20.0	1.0
P01-01-A-n07_gi_fwd-n06_gi_rev-rc-R2	0.0	41.0	227.0	30.0	3.0
P01-01-A-n07_gi_fwd-n07_gi_rev-rc-R2	91.26539753639418	42.0	226.0	36.36363636363637	893.0
P01-01-A-n07_gi_fwd-n08_gi_rev-rc-R2	76.19047619047619	41.0	225.0	36.36363636363637	42.0
P01-01-A-n08_fun_fwd-n05_fun_rev-rc-R2	0.0	54.0	225.0	20.0	1.0
P01-01-A-n08_gi_fwd-n07_gi_rev-rc-R2	90.0	41.0	226.0	36.36363636363637	10.0
P01-01-A-n08_gi_fwd-n08_gi_rev-rc-R2	89.9904671115348	41.0	225.0	36.36363636363637	1049.0
P01-01-A-n08_gi_fwd-n09_gi_rev-rc-R2	73.6842105263158	42.0	224.0	36.36363636363637	19.0
P01-01-A-n09_gi_fwd-n08_gi_rev-rc-R2	72.72727272727273	41.0	225.0	27.27272727272727	11.0
P01-01-A-n09_gi_fwd-n09_gi_rev-rc-R2	85.4721549636804	42.0	224.0	36.36363636363637	413.0
P01-01-A-n09_gi_fwd-n10_gi_rev-rc-R2	0.0	42.0	223.0	30.0	2.0
P01-01-A-n10_gi_fwd-n09_gi_rev-rc-R2	66.66666666666667	41.0	224.0	30.0	3.0
P01-01-B-n02_fun_fwd-n03_fun_rev-rc-R2	50.0	53.0	227.0	20.0	2.0
P01-01-B-n02_fun_fwd-n04_fun_rev-rc-R2	0.0	54.0	226.0	20.0	1.0
P01-01-B-n03_fun_fwd-n03_fun_rev-rc-R2	76.57657657657657	53.0	227.0	27.27272727272727	111.0
P01-01-B-n03_fun_fwd-n04_fun_rev-rc-R2	50.0	54.0	226.0	30.0	6.0
P01-01-B-n03_fun_fwd-n06_fun_rev-rc-R2	0.0	53.0	224.0	20.0	2.0
P01-01-B-n04_fun_fwd-n03_fun_rev-rc-R2	57.142857142857146	53.0	227.0	30.0	7.0
P01-01-B-n04_fun_fwd-n04_fun_rev-rc-R2	93.26878745965882	54.0	226.0	36.36363636363637	2169.0
P01-01-B-n04_fun_fwd-n05_fun_rev-rc-R2	33.33333333333334	54.0	225.0	30.0	6.0
P01-01-B-n05_fun_fwd-n02_fun_rev-rc-R2	0.0	53.0	228.0	20.0	1.0
P01-01-B-n05_fun_fwd-n03_fun_rev-rc-R2	0.0	54.0	227.0	20.0	1.0
P01-01-B-n05_fun_fwd-n04_fun_rev-rc-R2	71.42857142857143	53.0	226.0	30.0	7.0
P01-01-B-n05_fun_fwd-n05_fun_rev-rc-R2	83.27272727272728	53.0	225.0	36.36363636363637	550.0
P01-01-B-n05_fun_fwd-n06_fun_rev-rc-R2	66.66666666666667	53.0	224.0	36.36363636363637	15.0
P01-01-B-n05_gi_fwd-n06_gi_rev-rc-R2	78.26086956521739	41.0	227.0	36.36363636363637	23.0
