Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	per_tile_sequence_quality
P01-01-A-n01_fun_fwd-n05_fun_rev-rc-R1	P01-01-A-n01_fun_fwd-n05_fun_rev-rc-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1.0	0.0	225.0	60.0	100.0	225.0	pass	pass	pass	fail	pass	pass	pass	pass	fail	pass	
P01-01-A-n02_fun_fwd-n04_fun_rev-rc-R1	P01-01-A-n02_fun_fwd-n04_fun_rev-rc-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3.0	0.0	224.0	59.0	100.0	224.0	pass	pass	pass	fail	fail	pass	pass	pass	fail	pass	
P01-01-A-n03_fun_fwd-n02_fun_rev-rc-R1	P01-01-A-n03_fun_fwd-n02_fun_rev-rc-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2.0	0.0	223.0	60.0	100.0	223.0	pass	pass	pass	fail	pass	pass	pass	pass	fail	pass	
P01-01-A-n03_fun_fwd-n03_fun_rev-rc-R1	P01-01-A-n03_fun_fwd-n03_fun_rev-rc-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	377.0	0.0	223.0	59.0	16.445623342175068	223.0	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass	pass
P01-01-A-n03_fun_fwd-n04_fun_rev-rc-R1	P01-01-A-n03_fun_fwd-n04_fun_rev-rc-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9.0	0.0	223.0	59.0	33.33333333333333	223.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass	
P01-01-A-n03_fun_fwd-n05_fun_rev-rc-R1	P01-01-A-n03_fun_fwd-n05_fun_rev-rc-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1.0	0.0	223.0	59.0	100.0	223.0	pass	pass	pass	fail	pass	pass	pass	pass	fail	pass	
P01-01-A-n04_fun_fwd-n02_fun_rev-rc-R1	P01-01-A-n04_fun_fwd-n02_fun_rev-rc-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2.0	0.0	222.0	60.0	100.0	222.0	pass	pass	pass	fail	fail	pass	pass	pass	fail	pass	
P01-01-A-n04_fun_fwd-n03_fun_rev-rc-R1	P01-01-A-n04_fun_fwd-n03_fun_rev-rc-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23.0	0.0	222.0	60.0	21.73913043478261	222.0	pass	pass	pass	fail	pass	pass	pass	fail	fail	pass	pass
P01-01-A-n04_fun_fwd-n04_fun_rev-rc-R1	P01-01-A-n04_fun_fwd-n04_fun_rev-rc-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3656.0	0.0	222.0	60.0	4.020787746170678	222.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass	pass
P01-01-A-n04_fun_fwd-n05_fun_rev-rc-R1	P01-01-A-n04_fun_fwd-n05_fun_rev-rc-R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15.0	0.0	222.0	60.0	13.333333333333334	222.0	pass	pass	pass	fail	pass	pass	pass	fail	fail	pass	pass
