Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
P01-01-A-n01_fun_fwd-n05_fun_rev-rc-R2	0.0	53.0	225.0	20.0	1.0
P01-01-A-n02_fun_fwd-n04_fun_rev-rc-R2	66.66666666666667	53.0	226.0	30.0	3.0
P01-01-A-n03_fun_fwd-n02_fun_rev-rc-R2	0.0	53.0	228.0	30.0	2.0
P01-01-A-n03_fun_fwd-n03_fun_rev-rc-R2	85.14588859416446	53.0	227.0	27.27272727272727	377.0
P01-01-A-n03_fun_fwd-n04_fun_rev-rc-R2	66.66666666666667	54.0	226.0	30.0	9.0
P01-01-A-n03_fun_fwd-n05_fun_rev-rc-R2	0.0	54.0	225.0	20.0	1.0
P01-01-A-n04_fun_fwd-n02_fun_rev-rc-R2	0.0	53.0	228.0	20.0	2.0
P01-01-A-n04_fun_fwd-n03_fun_rev-rc-R2	82.6086956521739	54.0	227.0	36.36363636363637	23.0
P01-01-A-n04_fun_fwd-n04_fun_rev-rc-R2	95.45951859956236	54.0	226.0	27.27272727272727	3656.0
P01-01-A-n04_fun_fwd-n05_fun_rev-rc-R2	60.0	53.0	225.0	27.27272727272727	15.0
P01-01-A-n04_fun_fwd-n06_fun_rev-rc-R2	0.0	54.0	224.0	30.0	2.0
P01-01-A-n04_gi_fwd-n06_gi_rev-rc-R2	0.0	41.0	227.0	20.0	1.0
P01-01-A-n04_gi_fwd-n07_gi_rev-rc-R2	50.0	42.0	226.0	30.0	2.0
P01-01-A-n05_fun_fwd-n01_fun_rev-rc-R2	0.0	53.0	229.0	20.0	1.0
P01-01-A-n05_fun_fwd-n03_fun_rev-rc-R2	0.0	53.0	227.0	30.0	2.0
P01-01-A-n05_fun_fwd-n04_fun_rev-rc-R2	69.56521739130434	54.0	226.0	27.27272727272727	23.0
P01-01-A-n05_fun_fwd-n05_fun_rev-rc-R2	91.28949615713066	53.0	225.0	27.27272727272727	2342.0
P01-01-A-n05_fun_fwd-n06_fun_rev-rc-R2	44.44444444444444	53.0	224.0	30.0	9.0
P01-01-A-n05_fun_fwd-n07_fun_rev-rc-R2	0.0	53.0	223.0	20.0	1.0
P01-01-A-n05_gi_fwd-n06_gi_rev-rc-R2	71.42857142857143	41.0	227.0	27.27272727272727	28.0
P01-01-A-n05_gi_fwd-n07_gi_rev-rc-R2	66.66666666666667	41.0	226.0	40.0	6.0
P01-01-A-n06_fun_fwd-n02_fun_rev-rc-R2	0.0	53.0	228.0	20.0	1.0
P01-01-A-n06_fun_fwd-n03_fun_rev-rc-R2	50.0	53.0	227.0	20.0	2.0
P01-01-A-n06_fun_fwd-n04_fun_rev-rc-R2	0.0	53.0	226.0	30.0	1.0
P01-01-A-n06_fun_fwd-n05_fun_rev-rc-R2	71.42857142857143	54.0	225.0	36.36363636363637	28.0
P01-01-A-n06_fun_fwd-n06_fun_rev-rc-R2	90.4524886877828	53.0	224.0	27.27272727272727	2210.0
P01-01-A-n06_fun_fwd-n07_fun_rev-rc-R2	25.0	53.0	223.0	30.0	4.0
P01-01-A-n06_gi_fwd-n04_gi_rev-rc-R2	0.0	42.0	229.0	30.0	1.0
P01-01-A-n06_gi_fwd-n06_gi_rev-rc-R2	90.24707412223667	41.0	227.0	36.36363636363637	769.0
P01-01-A-n06_gi_fwd-n07_gi_rev-rc-R2	86.0	42.0	226.0	36.36363636363637	150.0
P01-01-A-n06_gi_fwd-n08_gi_rev-rc-R2	75.0	42.0	225.0	40.0	4.0
P01-01-A-n07_fun_fwd-n06_fun_rev-rc-R2	0.0	53.0	224.0	20.0	1.0
P01-01-A-n07_gi_fwd-n06_gi_rev-rc-R2	0.0	41.0	227.0	30.0	3.0
P01-01-A-n07_gi_fwd-n07_gi_rev-rc-R2	91.73272933182332	42.0	226.0	36.36363636363637	883.0
P01-01-A-n07_gi_fwd-n08_gi_rev-rc-R2	76.19047619047619	41.0	225.0	36.36363636363637	42.0
P01-01-A-n08_fun_fwd-n05_fun_rev-rc-R2	0.0	54.0	225.0	20.0	1.0
P01-01-A-n08_gi_fwd-n07_gi_rev-rc-R2	90.0	41.0	226.0	36.36363636363637	10.0
P01-01-A-n08_gi_fwd-n08_gi_rev-rc-R2	90.22265246853824	41.0	225.0	36.36363636363637	1033.0
P01-01-A-n08_gi_fwd-n09_gi_rev-rc-R2	77.77777777777777	42.0	224.0	36.36363636363637	18.0
P01-01-A-n09_gi_fwd-n08_gi_rev-rc-R2	72.72727272727273	41.0	225.0	27.27272727272727	11.0
P01-01-A-n09_gi_fwd-n09_gi_rev-rc-R2	86.02941176470588	42.0	224.0	36.36363636363637	408.0
P01-01-A-n09_gi_fwd-n10_gi_rev-rc-R2	0.0	42.0	223.0	30.0	2.0
P01-01-A-n10_gi_fwd-n09_gi_rev-rc-R2	66.66666666666667	41.0	224.0	30.0	3.0
P01-01-B-n02_fun_fwd-n03_fun_rev-rc-R2	50.0	53.0	227.0	20.0	2.0
P01-01-B-n02_fun_fwd-n04_fun_rev-rc-R2	0.0	54.0	226.0	20.0	1.0
P01-01-B-n03_fun_fwd-n03_fun_rev-rc-R2	76.14678899082568	53.0	227.0	27.27272727272727	109.0
P01-01-B-n03_fun_fwd-n04_fun_rev-rc-R2	50.0	54.0	226.0	30.0	6.0
P01-01-B-n03_fun_fwd-n06_fun_rev-rc-R2	0.0	53.0	224.0	20.0	2.0
P01-01-B-n04_fun_fwd-n03_fun_rev-rc-R2	57.142857142857146	53.0	227.0	30.0	7.0
P01-01-B-n04_fun_fwd-n04_fun_rev-rc-R2	93.63807728557964	54.0	226.0	27.27272727272727	2122.0
P01-01-B-n04_fun_fwd-n05_fun_rev-rc-R2	33.33333333333334	54.0	225.0	30.0	6.0
P01-01-B-n05_fun_fwd-n02_fun_rev-rc-R2	0.0	53.0	228.0	20.0	1.0
P01-01-B-n05_fun_fwd-n03_fun_rev-rc-R2	0.0	54.0	227.0	20.0	1.0
P01-01-B-n05_fun_fwd-n04_fun_rev-rc-R2	71.42857142857143	53.0	226.0	30.0	7.0
P01-01-B-n05_fun_fwd-n05_fun_rev-rc-R2	83.58208955223881	53.0	225.0	36.36363636363637	536.0
P01-01-B-n05_fun_fwd-n06_fun_rev-rc-R2	64.28571428571428	53.0	224.0	27.27272727272727	14.0
P01-01-B-n05_gi_fwd-n06_gi_rev-rc-R2	78.26086956521739	41.0	227.0	36.36363636363637	23.0
