sample input filtered denoised.fwd denoised.rev merged
P01-01-A-n04_gi_fwd-n06_gi_rev 1 1 1 1 1
P01-01-A-n04_gi_fwd-n07_gi_rev 2 2 2 2 2
P01-01-A-n05_gi_fwd-n06_gi_rev 29 28 28 28 28
P01-01-A-n05_gi_fwd-n07_gi_rev 6 6 6 6 6
P01-01-A-n06_gi_fwd-n04_gi_rev 1 1 1 1 1
P01-01-A-n06_gi_fwd-n06_gi_rev 782 769 769 769 769
P01-01-A-n06_gi_fwd-n07_gi_rev 151 150 150 150 108
P01-01-A-n06_gi_fwd-n08_gi_rev 4 4 4 4 4
P01-01-A-n07_gi_fwd-n06_gi_rev 3 3 3 3 3
P01-01-A-n07_gi_fwd-n07_gi_rev 893 883 883 883 656
P01-01-A-n07_gi_fwd-n08_gi_rev 42 42 42 42 42
P01-01-A-n08_gi_fwd-n07_gi_rev 10 10 10 10 10
P01-01-A-n08_gi_fwd-n08_gi_rev 1049 1033 1033 1033 1033
P01-01-A-n08_gi_fwd-n09_gi_rev 19 18 18 18 18
P01-01-A-n09_gi_fwd-n08_gi_rev 11 11 11 11 11
P01-01-A-n09_gi_fwd-n09_gi_rev 413 408 408 408 408
P01-01-A-n09_gi_fwd-n10_gi_rev 2 2 2 2 2
P01-01-A-n10_gi_fwd-n09_gi_rev 3 3 3 3 3
P01-01-B-n05_gi_fwd-n06_gi_rev 23 23 23 23 23
P01-01-B-n05_gi_fwd-n07_gi_rev 7 6 6 6 6
P01-01-B-n06_gi_fwd-n05_gi_rev 2 2 2 2 2
P01-01-B-n06_gi_fwd-n06_gi_rev 512 501 501 501 501
P01-01-B-n06_gi_fwd-n07_gi_rev 135 133 133 133 107
P01-01-B-n06_gi_fwd-n08_gi_rev 1 0 NA NA NA
P01-01-B-n07_gi_fwd-n06_gi_rev 3 3 3 3 3
P01-01-B-n07_gi_fwd-n07_gi_rev 864 859 859 859 617
P01-01-B-n07_gi_fwd-n08_gi_rev 4 4 4 4 4
