"template","tags","dilution","fun_n","gi_n","fun_id","gi_id","combo"
"standard","P01-01-A",0.0003125,"n03_fun_fwd-n03_fun_rev","n08_gi_fwd-n08_gi_rev","P01-01-A-n03_fun_fwd-n03_fun_rev","P01-01-A-n08_gi_fwd-n08_gi_rev","P01-01-A-n03_fun_fwd-n03_fun_rev.P01-01-A-n08_gi_fwd-n08_gi_rev"
"standard","P01-01-B",7.8125e-05,"n03_fun_fwd-n03_fun_rev","n08_gi_fwd-n08_gi_rev","P01-01-B-n03_fun_fwd-n03_fun_rev","P01-01-B-n08_gi_fwd-n08_gi_rev","P01-01-B-n03_fun_fwd-n03_fun_rev.P01-01-B-n08_gi_fwd-n08_gi_rev"
"standard","P01-01-A",0.0025,"n05_fun_fwd-n05_fun_rev","n07_gi_fwd-n07_gi_rev","P01-01-A-n05_fun_fwd-n05_fun_rev","P01-01-A-n07_gi_fwd-n07_gi_rev","P01-01-A-n05_fun_fwd-n05_fun_rev.P01-01-A-n07_gi_fwd-n07_gi_rev"
"standard","P01-01-B",0.00015625,"n05_fun_fwd-n05_fun_rev","n07_gi_fwd-n07_gi_rev","P01-01-B-n05_fun_fwd-n05_fun_rev","P01-01-B-n07_gi_fwd-n07_gi_rev","P01-01-B-n05_fun_fwd-n05_fun_rev.P01-01-B-n07_gi_fwd-n07_gi_rev"
"standard","P01-01-A",0.00125,"n06_fun_fwd-n06_fun_rev","n06_gi_fwd-n06_gi_rev","P01-01-A-n06_fun_fwd-n06_fun_rev","P01-01-A-n06_gi_fwd-n06_gi_rev","P01-01-A-n06_fun_fwd-n06_fun_rev.P01-01-A-n06_gi_fwd-n06_gi_rev"
"standard","P01-01-B",0.005,"n06_fun_fwd-n06_fun_rev","n06_gi_fwd-n06_gi_rev","P01-01-B-n06_fun_fwd-n06_fun_rev","P01-01-B-n06_gi_fwd-n06_gi_rev","P01-01-B-n06_fun_fwd-n06_fun_rev.P01-01-B-n06_gi_fwd-n06_gi_rev"
"standard","P01-01-A",0.01,"n04_fun_fwd-n04_fun_rev","n09_gi_fwd-n09_gi_rev","P01-01-A-n04_fun_fwd-n04_fun_rev","P01-01-A-n09_gi_fwd-n09_gi_rev","P01-01-A-n04_fun_fwd-n04_fun_rev.P01-01-A-n09_gi_fwd-n09_gi_rev"
"standard","P01-01-B",0.000625,"n04_fun_fwd-n04_fun_rev","n09_gi_fwd-n09_gi_rev","P01-01-B-n04_fun_fwd-n04_fun_rev","P01-01-B-n09_gi_fwd-n09_gi_rev","P01-01-B-n04_fun_fwd-n04_fun_rev.P01-01-B-n09_gi_fwd-n09_gi_rev"
"standard","P01-01-C",0.00125,"n04_fun_fwd-n04_fun_rev","n09_gi_fwd-n09_gi_rev","P01-01-C-n04_fun_fwd-n04_fun_rev","P01-01-C-n09_gi_fwd-n09_gi_rev","P01-01-C-n04_fun_fwd-n04_fun_rev.P01-01-C-n09_gi_fwd-n09_gi_rev"
"standard","P01-01-D",0.01,"n04_fun_fwd-n04_fun_rev","n09_gi_fwd-n09_gi_rev","P01-01-D-n04_fun_fwd-n04_fun_rev","P01-01-D-n09_gi_fwd-n09_gi_rev","P01-01-D-n04_fun_fwd-n04_fun_rev.P01-01-D-n09_gi_fwd-n09_gi_rev"
